cod_mun,mun,longitude,latitude
1703883,CARMOLÂNDIA,-48.39595993062739,-7.03147877786106
1703891,CARRASCO BONITO,-48.0306334265692,-5.32266135485805
1703909,CASEARA,-49.9486922677787,-9.267406218903481
1704105,CENTENÁRIO,-47.3383985145873,-8.9584636390938
1704600,CHAPADA DE AREIA,-49.1831078580314,-10.1419885833334
1705102,CHAPADA DA NATIVIDADE,-47.7539048918565,-11.624267831362099
1705508,COLINAS DO TOCANTINS,-48.48159454374889,-8.05462467549995
1705557,COMBINADO,-46.5520723402661,-12.8186076720311
1705607,CONCEIÇÃO DO TOCANTINS,-47.292868810807,-12.2172777669654
1706001,COUTO MAGALHÃES,-49.17657157085301,-8.35511836963524
1706100,CRISTALÂNDIA,-49.186300291261205,-10.590724637117699
1706258,CRIXÁS DO TOCANTINS,-48.91551382564771,-11.1042742936043
1706506,DARCINÓPOLIS,-47.75216111027989,-6.71235100148176
1707009,DIANÓPOLIS,-46.820409066943505,-11.625231878065
1707108,DIVINÓPOLIS DO TOCANTINS,-49.205413187350295,-9.795301140229462
1707207,DOIS IRMÃOS DO TOCANTINS,-49.0673386442723,-9.26129670979711
1707306,DUERÉ,-49.2658759161628,-11.341285416779803
1707405,ESPERANTINA,-48.544147600412394,-5.36660805940451
1707553,FÁTIMA,-48.8989826586808,-10.7525087280848
1707652,FIGUEIRÓPOLIS,-49.1738467307434,-12.1367799832225
1707702,FILADÉLFIA,-47.484964141532004,-7.3376119059308
1708205,FORMOSO DO ARAGUAIA,-49.5268603629125,-11.8051419686495
1708254,FORTALEZA DO TABOCÃO,-48.517426421048796,-9.05896530114982
1708304,GOIANORTE,-48.9368901923611,-8.77052080482939
1709005,GOIATINS,-47.3154354891583,-7.7091723901957
1709302,GUARAÍ,-48.5086406064702,-8.836165657504429
1709500,GURUPI,-49.07147746893029,-11.72977232286
1709807,IPUEIRAS,-48.4519262288947,-11.246288621591699
1710508,ITACAJÁ,-47.76811240267801,-8.39098055231856
1710706,ITAGUATINS,-47.4799359489833,-5.77538508840222
1710904,ITAPIRATINS,-48.1111996094691,-8.384329593442969
1711100,ITAPORÃ DO TOCANTINS,-48.693263703224794,-8.56882861156054
1711506,JAÚ DO TOCANTINS,-48.5946082927248,-12.652926369270599
1711803,JUARINA,-49.0986431854272,-8.117423967606781
1711902,LAGOA DA CONFUSÃO,-49.620085339146,-10.7886955575897
1711951,LAGOA DO TOCANTINS,-47.5614466302738,-10.2968866969998
1712009,LAJEADO,-48.3585039506901,-9.744682435735589
1712157,LAVANDEIRA,-46.506675715743505,-12.791658787651802
1712405,LIZARDA,-46.6751654558461,-9.59457028780967
1712454,LUZINÓPOLIS,-47.856828041414005,-6.193989660235769
1712504,MARIANÓPOLIS DO TOCANTINS,-49.651033994437796,-9.79888035935058
1712702,MATEIROS,-46.412465743092,-10.544428846077802
1712801,MAURILÂNDIA DO TOCANTINS,-47.5048799601751,-5.95256642121045
1713205,MIRACEMA DO TOCANTINS,-48.3879913115193,-9.568346077646519
1713304,MIRANORTE,-48.592631936913904,-9.51740473109312
1713601,MONTE DO CARMO,-48.110420029911204,-10.763542194623803
1713700,MONTE SANTO DO TOCANTINS,-48.990890603393495,-10.005591431794
1713809,PALMEIRAS DO TOCANTINS,-47.5586835262825,-6.61186233456171
1713957,MURICILÂNDIA,-48.6067452770067,-7.1385192851603305
1714203,NATIVIDADE,-47.727257533823206,-11.705357382504198
1714302,NAZARÉ,-47.666977182526296,-6.372557969285611
1714880,NOVA OLINDA,-48.424806790016405,-7.6333149106925
1715002,NOVA ROSALÂNDIA,-48.9061807245023,-10.566871139332301
1715101,NOVO ACORDO,-47.6681483922167,-9.96848646570169
1715150,NOVO ALEGRE,-46.5772973536675,-12.9099386744081
1715259,NOVO JARDIM,-46.6307872958899,-11.815875050149
1715507,OLIVEIRA DE FÁTIMA,-48.90740156890321,-10.7083627090618
1715705,PALMEIRANTE,-47.934249708984204,-7.857561376145049
1715754,PALMEIRÓPOLIS,-48.4134139552316,-13.0398884336692
1716109,PARAÍSO DO TOCANTINS,-48.88663008401689,-10.1712207549999
1716208,PARANÃ,-47.884083728442604,-12.6204814887183
1716307,PAU D'ARCO,-49.363306481009104,-7.53999835569997
1716505,PEDRO AFONSO,-48.1775561127386,-8.96444959242294
1716604,PEIXE,-48.537810626336004,-12.029773830853
1716653,PEQUIZEIRO,-48.935179866915796,-8.593340654448449
1716703,COLMÉIA,-48.7570665856948,-8.729371806818591
1717008,PINDORAMA DO TOCANTINS,-47.5756877172877,-11.138202584680801
1717206,PIRAQUÊ,-48.29370739109321,-6.769777033407349
1717503,PIUM,-49.166658011574704,-10.4409311179305
1717800,PONTE ALTA DO BOM JESUS,-46.4695867923952,-12.087812908434401
1717909,PONTE ALTA DO TOCANTINS,-47.541180358301894,-10.7406728486815
1718006,PORTO ALEGRE DO TOCANTINS,-47.0474256004295,-11.6072590990885
1718204,PORTO NACIONAL,-48.4121534584309,-10.708569917
1718303,PRAIA NORTE,-47.81473173334229,-5.3967128773782695
1718402,PRESIDENTE KENNEDY,-48.504330670109,-8.52996082761918
1718451,PUGMIL,-48.8942204487831,-10.424307156246801
1718501,RECURSOLÂNDIA,-47.2380411950208,-8.735360453880121
1718550,RIACHINHO,-48.141045502038004,-6.4422113876974105
1718659,RIO DA CONCEIÇÃO,-46.8803997045722,-11.404940023899
1718709,RIO DOS BOIS,-48.5330479716014,-9.3437422386879
